   ---------------------------------------------------------------------------------------------
   Grp  Elmt | Description                                                  | VR |    VM | Value
   0020 0037 | imageOrientation                                             | DS |     6 | "1", "0", "0", "0", "1", "0"
   0020 0052 | frameOfReferenceUid                                          | UI |     1 | "1.3.12.2.1107.5.1.4.54751.30000018050408375996800002132"
   0020 1040 | positionReferenceIndicator                                   | LO |     0 | ""
   0020 1041 | sliceLocation                                                | DS |     1 | "-1105"
   0020 4000 | imageComment                                                 | LT |     0 | ""
   0021 0010 | privateCreatorId                                             | LO |     1 | "SIEMENS MED"
   0021 1011 | 1011                                                         | DS |     2 | "0", "13"
   0028 0002 | samplesPerPixel                                              | US |     1 | 1
   0028 0004 | photometricInterpretation                                    | CS |     1 | "MONOCHROME2"
   0028 0010 | rows                                                         | US |     1 | 512
   0028 0011 | columns                                                      | US |     1 | 512
   0028 0030 | pixelSpacing                                                 | DS |     2 | "0.390625", "0.390625"
   0028 0100 | bitsAllocated                                                | US |     1 | 16
   0028 0101 | bitsStored                                                   | US |     1 | 12
   0028 0102 | highBit                                                      | US |     1 | 11
   0028 0103 | pixelRepresentation                                          | US |     1 | 0
   0028 0106 | smallestImagePixelValue                                      | US |     1 | 0
   0028 0107 | largestImagePixelValue                                       | US |     1 | 3470
   0028 1050 | windowCenter                                                 | DS |     2 | "570", "700"
   0028 1051 | windowWidth                                                  | DS |     2 | "1314", "3200"
   0028 1052 | rescaleIntercept                                             | DS |     1 | "-1024"
   0028 1053 | rescaleSlope                                                 | DS |     1 | "1"
   0028 1055 | windowCenterAndWidthExplanation                              | LO |     2 | "WINDOW1", "WINDOW2"
   0029 0010 | privateCreatorId                                             | LO |     1 | "SIEMENS CSA HEADER"
   0029 0011 | privateCreatorId                                             | LO |     1 | "SIEMENS MEDCOM HEADER"
   0029 1008 | 1008                                                         | CS |     1 | "SOM 5"
   0029 1009 | 1009                                                         | LO |     1 | "VA10A 971201"
   0029 1010 | 1010                                                         | OB |   616 | 0x00, 0x00, 0x04, 0x00, 0x4C, 0x54, 0x08, 0x00, 0x36, 0x00, 0x33, 0x00, 0x36, 0x00, 0x33, 0x00, 0x00, 0x00, 0x05, 0x00, 0x46, 0x44, 0x08, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0xF6, 0x74, 0x40, 0x00, 0x00, 0x06, 0x00, 0x46, 0x44, 0x08, 0x00, 0xA2, 0xF7, 0x7C, 0x83, 0xE5, 0x9E, 0x12, 0x40, 0x00, 0x00, 0x07, 0x00, 0x53, 0x4C, 0x04, 0x00, 0xBB, 0x03, 0x00, 0x00, 0x00, 0x00, 0x08, 0x00, 0x53, 0x4C, 0x04, 0x00, 0xC8, 0x00, 0x00, 0x00, 0x00, 0x00, 0x0D, 0x00, 0x53, 0x4C, 0x04, 0x00, 0x01, 0x00, 0x00, 0x00, 0x00, 0x00, 0x0E, 0x00, 0x53, 0x4C, 0x04, 0x00, 0x05, 0x00, 0x00, 0x00, 0x00, 0x00, 0x13, 0x00, ... ( 516 more values )
   0029 1140 | 1140                                                         | SQ |     1 | 
         **** Item
         0029 0010 | privateCreatorId                                             | LO |     1 | "SIEMENS MEDCOM HEADER"
         0029 1041 | 1041                                                         | CS |     1 | "SOM 5 TPOS"
         0029 1042 | 1042                                                         | LO |     1 | "SOM 5 NULLPOSITION"
         0029 1043 | 1043                                                         | LO |     1 | "VB10A 20030626"
         0029 1044 | 1044                                                         | OB |    12 | 0x2D, 0x30, 0x30, 0x30, 0x30, 0x30, 0x30, 0x32, 0x32, 0x35, 0x00, 0x41
         ---- End Item
   ---- End Seq
   0032 1033 | requestingService                                            | LO |     1 | "SWMC"
   0032 1060 | requestedProcedureDescription                                | LO |     1 | "Vascular CT_BRAIN_PERFUSION (Adult)"
   7fe0 0000 | groupLength                                                  | UL |     1 | 140872
   7fe0 0010 | pixelData                                                    | OW |     1 | NOT LOADED
   ---------------------------------------------------------------------------------------------
